Data,Likes,Comentários,Descrição
2021-03-01T22:32:24.000Z,69,3,"Confira os perfis mais relevantes na área e se mantenha em dia com as mais novas tecnologias 😉😉<br>.<br>.<br>.<br>.<br><a class="" xil3i"" href=""/explore/tags/artificialintelligence/"" tabindex=""0"">#artificialintelligence</a> <a class="" xil3i"" href=""/explore/tags/ai/"" tabindex=""0"">#ai</a> <a class="" xil3i"" href=""/explore/tags/machinelearning/"" tabindex=""0"">#machinelearning</a> <a class="" xil3i"" href=""/explore/tags/aprendizadodemaquina/"" tabindex=""0"">#aprendizadodemaquina</a> <a class="" xil3i"" href=""/explore/tags/programming/"" tabindex=""0"">#programming</a> <a class="" xil3i"" href=""/explore/tags/python/"" tabindex=""0"">#python</a>"
2021-02-27T16:19:55.000Z,292,6,"🤫🤫🤫🤫<br>.<br>.<br>.<br><br><a class="" xil3i"" href=""/explore/tags/ai/"" tabindex=""0"">#ai</a> <a class="" xil3i"" href=""/explore/tags/artificialintelligence/"" tabindex=""0"">#artificialintelligence</a> <a class="" xil3i"" href=""/explore/tags/machinelearning/"" tabindex=""0"">#machinelearning</a> <a class="" xil3i"" href=""/explore/tags/python/"" tabindex=""0"">#python</a> <br><a class="" xil3i"" href=""/explore/tags/datascience/"" tabindex=""0"">#datascience</a> <a class="" xil3i"" href=""/explore/tags/programming/"" tabindex=""0"">#programming</a>"
2021-02-26T22:34:50.000Z,143,6,"Marca os amigos que precisam conhecer essas plataformas!<br>.<br>.<br>.<br>.<br><br><a class="" xil3i"" href=""/explore/tags/ia/"" tabindex=""0"">#ia</a> <a class="" xil3i"" href=""/explore/tags/machinelearning/"" tabindex=""0"">#machinelearning</a> <a class="" xil3i"" href=""/explore/tags/python/"" tabindex=""0"">#python</a> <a class="" xil3i"" href=""/explore/tags/programming/"" tabindex=""0"">#programming</a> <a class="" xil3i"" href=""/explore/tags/artificialintelligence/"" tabindex=""0"">#artificialintelligence</a>"
2020-11-13T21:55:49.000Z,68,6,"Se você enxerga a IA apenas como algo distante e restrito somente à área da tecnologia, então gostaríamos de dizer que você está bem enganado! <br><br>Em nosso terceiro artigo sobre IA, trazemos para vocês aplicações da nossa querida em 10 áreas distintas, então corre lá pra ver como estão fazendo uso dessa ferramenta poderosíssima.<br><br>Ficou curioso? Para dar uma conferida, basta clicar no link na nossa bio 😉. <a class="" xil3i"" href=""/explore/tags/tailufpb/"" tabindex=""0"">#tailufpb</a> <a class="" xil3i"" href=""/explore/tags/ia/"" tabindex=""0"">#ia</a> <a class="" xil3i"" href=""/explore/tags/tecnologia/"" tabindex=""0"">#tecnologia</a>"
2020-11-13T13:39:20.000Z,76,12,"Na nossa primeira competição interna, os participantes encararam um problema baseado na competição Janatahack: Cross-sell Prediction, disponível no <a class=""notranslate"" href=""/analytics_vidhya/"" tabindex=""0"">@analytics_vidhya</a> .  Abaixo temos uma descrição para informá-los sobre a temática dos dados utilizados nessa competição.:<br><br>Uma companhia de seguros possui dados de clientes que adquiriram, no ano passado, um Seguro de Vida. Com base nestes dados esta companhia precisa de um modelo preditivo que classifique estes clientes entre interessados ou não em adquirir também um Seguro de Automóveis.<br><br>O contrato feito pela empresa com seu cliente é baseado em um acordo de garantia em que, sob circunstâncias previamente definidas, a companhia cobre despesas hospitalares ou fúnebres, com um valor máximo acordado neste mesmo contrato, na condição de que o cliente pague à empresa, em dada frequência, um prêmio em dinheiro.<br><br>Gostaríamos de parabenizar os integrantes das equipes de todos os participantes. No post acima temos as equipes que ficaram no pódio!<br><br>Bad Cluster Boys - 0.86<br>alegr IA Team - 0.85<br>ARIEL - 0.78<br><br>Parabéns e em breve teremos as premiações e novos eventos! Fiquem de olho :D."
2020-11-11T23:52:55.000Z,30,2,"A crescente necessidade de processar e representar textos de maneira eficaz para melhor entendimento dos modelos de aprendizagem de máquina nos conduz às word embeddings, que nada mais são que algoritmos que buscam converter textos em vetores.<br><br>Buscando extrair a maior quantidade de informação possível, as word embeddings são extremamente úteis para problemas envolvendo textos no geral desde classificação de tweets à análise de sentimentos em avaliações de um estabelecimento.<br><br>Produzimos um artigo no Medium tratando das principais técnicas utilizadas na atualidade e suas peculiaridades! Confira através do link na bio!<br><br><a class="" xil3i"" href=""/explore/tags/nlp/"" tabindex=""0"">#nlp</a> <a class="" xil3i"" href=""/explore/tags/artificialintelligence/"" tabindex=""0"">#artificialintelligence</a> <a class="" xil3i"" href=""/explore/tags/datascience/"" tabindex=""0"">#datascience</a> <a class="" xil3i"" href=""/explore/tags/aprendizadodemaquina/"" tabindex=""0"">#aprendizadodemaquina</a> <a class="" xil3i"" href=""/explore/tags/machinelearning/"" tabindex=""0"">#machinelearning</a> <a class="" xil3i"" href=""/explore/tags/deeplearning/"" tabindex=""0"">#deeplearning</a>"
2020-10-23T22:27:23.000Z,56,2,"Filósofos, jogos de tabuleiro, robôs e StarCraft. As imagens parecem um pouco desconexas, mas e se a gente te contar que tudo isso tem ligação, você acredita? 😱🤯<br><br>Nosso artigo dessa semana fala um pouco mais sobre os acontecimentos marcantes na história da Inteligência Artificial. <br><br>Você pode conferir clicando no link que tá na nossa bio 😉. Vem matar a curiosidade! <a class="" xil3i"" href=""/explore/tags/tailufpb/"" tabindex=""0"">#tailufpb</a> <a class="" xil3i"" href=""/explore/tags/ia/"" tabindex=""0"">#ia</a> <a class="" xil3i"" href=""/explore/tags/datascience/"" tabindex=""0"">#datascience</a> <a class="" xil3i"" href=""/explore/tags/história/"" tabindex=""0"">#história</a>"
2020-10-22T20:48:27.000Z,49,5,"Esse é o último post da série de Médias Móveis Simples (MMS), já viu os outros, né? Usamos os dados da COVID-19 disponibilizados pelo Ministério da Saúde (https://covid.saude.gov.br/) para mostrar um pouquinho da aplicabilidade. Como esses dados apresentam muitas oscilações, são um bom exemplo para aplicação.<br><br>Conta aqui nos comentários o que achou dessa série e não esquece de mandar para seus amigos! 😉<br><br><a class="" xil3i"" href=""/explore/tags/tail/"" tabindex=""0"">#tail</a> <a class="" xil3i"" href=""/explore/tags/technology/"" tabindex=""0"">#technology</a> <a class="" xil3i"" href=""/explore/tags/artificialintelligence/"" tabindex=""0"">#artificialintelligence</a> <a class="" xil3i"" href=""/explore/tags/league/"" tabindex=""0"">#league</a> <a class="" xil3i"" href=""/explore/tags/tecnologia/"" tabindex=""0"">#tecnologia</a> <a class="" xil3i"" href=""/explore/tags/inteligenciaartificial/"" tabindex=""0"">#inteligenciaartificial</a> <a class="" xil3i"" href=""/explore/tags/cienciadedados/"" tabindex=""0"">#cienciadedados</a> <a class="" xil3i"" href=""/explore/tags/liga/"" tabindex=""0"">#liga</a> <a class="" xil3i"" href=""/explore/tags/ligaacademica/"" tabindex=""0"">#ligaacademica</a> <a class="" xil3i"" href=""/explore/tags/ufpb/"" tabindex=""0"">#ufpb</a> <a class="" xil3i"" href=""/explore/tags/mediamovel/"" tabindex=""0"">#mediamovel</a>"
2020-10-19T21:51:25.000Z,61,2,"Continuando a nossa pequena série sobre médias móveis, esse post é sobre como fazer o cálculo da média móvel simples (MMS – Ou, em inglês, a SMA – Simple Moving Average) manualmente e em Python (utilizando o Pandas).<br><br>🤔 Não sabe do que estamos falando? Confere o post anterior que explicamos o que é a média móvel. 💡"
2020-10-15T21:01:46.000Z,72,6,"Médias móveis, você conhece? Existem vários tipos de médias móveis: simples, cumulativa, ponderada, exponencial e adaptativa. <br><br>Nesse post abordamos um pouquinho do que é a média móvel simples, fica ligado que esse é só o primeiro de três posts sobre média móvel simples. <br><br>Compartilha com os seus amigos e conta para gente se você já conhecia!<br><br><a class="" xil3i"" href=""/explore/tags/tail/"" tabindex=""0"">#tail</a> <a class="" xil3i"" href=""/explore/tags/technology/"" tabindex=""0"">#technology</a> <a class="" xil3i"" href=""/explore/tags/artificialintelligence/"" tabindex=""0"">#artificialintelligence</a> <a class="" xil3i"" href=""/explore/tags/league/"" tabindex=""0"">#league</a> <a class="" xil3i"" href=""/explore/tags/tecnologia/"" tabindex=""0"">#tecnologia</a> <a class="" xil3i"" href=""/explore/tags/inteligenciaartificial/"" tabindex=""0"">#inteligenciaartificial</a> <a class="" xil3i"" href=""/explore/tags/cienciadedados/"" tabindex=""0"">#cienciadedados</a> <a class="" xil3i"" href=""/explore/tags/liga/"" tabindex=""0"">#liga</a> <a class="" xil3i"" href=""/explore/tags/ligaacademica/"" tabindex=""0"">#ligaacademica</a> <a class="" xil3i"" href=""/explore/tags/ufpb/"" tabindex=""0"">#ufpb</a> <a class="" xil3i"" href=""/explore/tags/mediamovel/"" tabindex=""0"">#mediamovel</a>"
2020-10-09T21:04:21.000Z,63,8,"No nosso processo seletivo, perguntamos aos inscritos: ""Por que quer se juntar a nós?"" e as respostas foram diversas! Porém, dentre as expectativas, podemos destacar algumas palavras que foram mencionadas: conhecimento, experiência, aprender, contribuir, desenvolver, compartilhar! E é esse o nosso objetivo aqui na TAIL. Queremos promover conhecimento, experiência e desenvolvimento para todos os integrantes, mas também compartilhar os nossos aprendizados com pessoas de fora da liga! <br><br>Além de compartilhar conteúdo aqui no instagram, também marcamos presença em outras redes. No link da nossa bio, vocês podem encontrar nossas contas no Medium e no GitHub! Vão lá dar uma conferida 😉"
2020-10-06T22:29:08.000Z,81,7,Você já se perguntou qual a real importância da Inteligência Artificial para a humanidade e como ela está presente em sua vida?<br><br>Vem dar uma lida no nosso primeiro artigo no medium! Link na bio!
2020-09-07T20:01:21.000Z,142,13,"Parabéns a todos que participaram, ficamos muito felizes com a proporção que nosso processo seletivo tomou. Tivemos ao todo 93 inscrições e aprovamos 25 alunos. <br><br>marque seu amigo aprovado no processo e fiquem de olho no próximo!"
2020-08-16T17:24:04.000Z,58,1,"A diretoria de ciência de dados é direcionada para a obtenção e produção de conteúdos relacionas à área, as principais atividades serão: <br><br>- Montar datasets autorais;<br><br>- Estudar datasets, métodos de tratamento e visualização gráfica;<br><br>- Produzir conteúdo relacionado à área;<br><br>- Grupos de estudo."
2020-08-15T20:37:44.000Z,58,1,"O setor de inteligência artificial ficará em cargo da promoção de conhecimento sobre os fundamentos da área, bem como o funcionamento e a implementação de diversos métodos, como exemplo, as tão faladas redes neurais artificiais.<br><br>Alguns exemplos de atividades a serem desenvolvidas pelo setor são: <br><br>- Disponibilização de aulas sobre o tema;<br><br>- Produção de conteúdo para redes sociais;<br><br>- Recomendação de cursos;<br><br>- Grupos de estudo."
2020-08-15T01:14:47.000Z,40,1,"O setor consistirá em desenvolver, aprimorar e aprender conhecimentos matemáticos e estatísticos envolvendo o mundo da inteligência artificial e seus ramos de conhecimento. Alguns assuntos a serem abordados serão cálculo, algebra linear, estatística e probabilidade.<br><br>Alguns exemplos de atividades a serem desenvolvidas pelo setor são: <br><br>- Criação de conteúdo relacionado à área;<br><br>- Disponibilização de materiais, conceitos matemáticos e estatísticos importantes para o mundo da inteligência Artificial;<br><br>- Disponibilização de listas com exercícios sobre as áreas de matemática e estatística;<br><br>- Estudos individuais sobre assuntos da área."
2020-08-12T23:02:01.000Z,98,8,Estamos felizes de anunciar que o processo seletivo está aberto! Para se inscrever basta responder ao formulário disponível no link da bio.<br><br>Fiquem atentos aos próximos posts para saber mais!
2020-08-11T21:22:05.000Z,212,13,"Bem vindo ao Instagram da TAIL.<br><br>Esperamos que vocês possam aprender muito conosco durante os próximos períodos. Estamos muito felizes por sermos a primeira Liga Acadêmica de Inteligência Artificial da Paraíba e a primeira Liga acadêmica do Centro de Informática. Vamos nos esforçar ao máximo para sempre trazermos conteúdo de qualidade e fornecer as mais novas informações sobre a área que mais cresce na atualidade. Não fique de fora desse projeto!<br><br>Sigam o <a class=""notranslate"" href=""/aprendizagemdemaquina/"" tabindex=""0"">@aprendizagemdemaquina</a> e fiquem por dentro dos próximos passos e notícias. <br><br>Em breve divulgaremos o edital de seleção para nossa liga!"
